layer,sequences,time_us
model_core,59,807743.553939077
model_core_stage_0,59,92562.691614237
model_core_stage_1,59,92562.691614237
model_core_stage_2,59,105785.933273414
model_core_stage_3,59,105785.933273414
model_core_stage_4,59,105785.933273414
model_core_stage_5,59,105785.933273414
model_core_stage_6,59,105785.933273414
model_core_stage_7,59,93688.504343535
model_core,60,814474.971363568
model_core_stage_0,60,93335.130699804
model_core_stage_1,60,93335.130699804
model_core_stage_2,60,106668.720799776
model_core_stage_3,60,106668.720799776
model_core_stage_4,60,106668.720799776
model_core_stage_5,60,106668.720799776
model_core_stage_6,60,106668.720799776
model_core_stage_7,60,94461.105965077
model_core,61,821067.591949809
model_core_stage_0,61,94091.642279343
model_core_stage_1,61,94091.642279343
model_core_stage_2,61,107533.305462106
model_core_stage_3,61,107533.305462106
model_core_stage_4,61,107533.305462106
model_core_stage_5,61,107533.305462106
model_core_stage_6,61,107533.305462106
model_core_stage_7,61,95217.780080591
model_core,62,827524.281079682
model_core_stage_0,62,94832.555167167
model_core_stage_1,62,94832.555167167
model_core_stage_2,62,108380.063048191
model_core_stage_3,62,108380.063048191
model_core_stage_4,62,108380.063048191
model_core_stage_5,62,108380.063048191
model_core_stage_6,62,108380.063048191
model_core_stage_7,62,95958.855504390
model_core,63,833847.844980891
model_core_stage_0,63,95558.191389407
model_core_stage_1,63,95558.191389407
model_core_stage_2,63,109209.361587894
model_core_stage_3,63,109209.361587894
model_core_stage_4,63,109209.361587894
model_core_stage_5,63,109209.361587894
model_core_stage_6,63,109209.361587894
model_core_stage_7,63,96684.654262605
model_core,64,840041.031948161
model_core_stage_0,64,96268.866324146
model_core_stage_1,64,96268.866324146
model_core_stage_2,64,110021.561513310
model_core_stage_3,64,110021.561513310
model_core_stage_4,64,110021.561513310
model_core_stage_5,64,110021.561513310
model_core_stage_6,64,110021.561513310
model_core_stage_7,64,97395.491733319
model_core,65,846106.533539236
model_core_stage_0,65,96964.888838666
model_core_stage_1,65,96964.888838666
model_core_stage_2,65,110817.015815618
model_core_stage_3,65,110817.015815618
model_core_stage_4,65,110817.015815618
model_core_stage_5,65,110817.015815618
model_core_stage_6,65,110817.015815618
model_core_stage_7,65,98091.676783813
model_core,66,852046.985746176
model_core_stage_0,66,97646.561423859
model_core_stage_1,66,97646.561423859
model_core_stage_2,66,111596.070198696
model_core_stage_3,66,111596.070198696
model_core_stage_4,66,111596.070198696
model_core_stage_5,66,111596.070198696
model_core_stage_6,66,111596.070198696
model_core_stage_7,66,98773.511904981
model_core,67,857864.970142483
model_core_stage_0,67,98314.180325864
model_core_stage_1,67,98314.180325864
model_core_stage_2,67,112359.063229559
model_core_stage_3,67,112359.063229559
model_core_stage_4,67,112359.063229559
model_core_stage_5,67,112359.063229559
model_core_stage_6,67,112359.063229559
model_core_stage_7,67,99441.293342961
model_core,68,863563.015006544
model_core_stage_0,68,98968.035674989
model_core_stage_1,68,98968.035674989
model_core_stage_2,68,113106.326485701
model_core_stage_3,68,113106.326485701
model_core_stage_4,68,113106.326485701
model_core_stage_5,68,113106.326485701
model_core_stage_6,68,113106.326485701
model_core_stage_7,68,100095.311228060
model_core,69,869143.596421870
model_core_stage_0,69,99608.411611963
model_core_stage_1,69,99608.411611963
model_core_stage_2,69,113838.184699387
model_core_stage_3,69,113838.184699387
model_core_stage_4,69,113838.184699387
model_core_stage_5,69,113838.184699387
model_core_stage_6,69,113838.184699387
model_core_stage_7,69,100735.849701010
model_core,70,874609.139354638
model_core_stage_0,70,100235.586411595
model_core_stage_1,70,100235.586411595
model_core_stage_2,70,114554.955898966
model_core_stage_3,70,114554.955898966
model_core_stage_4,70,114554.955898966
model_core_stage_5,70,114554.955898966
model_core_stage_6,70,114554.955898966
model_core_stage_7,70,101363.187036617
model_core,71,879962.018708974
model_core_stage_0,71,100849.832603866
model_core_stage_1,71,100849.832603866
model_core_stage_2,71,115256.951547276
model_core_stage_3,71,115256.951547276
model_core_stage_4,71,115256.951547276
model_core_stage_5,71,115256.951547276
model_core_stage_6,71,115256.951547276
model_core_stage_7,71,101977.595764862
model_core,72,885204.560360456
model_core_stage_0,72,101451.417092531
model_core_stage_1,72,101451.417092531
model_core_stage_2,72,115944.476677178
model_core_stage_3,72,115944.476677178
model_core_stage_4,72,115944.476677178
model_core_stage_5,72,115944.476677178
model_core_stage_6,72,115944.476677178
model_core_stage_7,72,102579.342789502
model_core,73,890339.042168286
model_core_stage_0,73,102040.601271269
model_core_stage_1,73,102040.601271269
model_core_stage_2,73,116617.830024307
model_core_stage_3,73,116617.830024307
model_core_stage_4,73,116617.830024307
model_core_stage_5,73,116617.830024307
model_core_stage_6,73,116617.830024307
model_core_stage_7,73,103168.689504214
model_core,74,895367.694966553
model_core_stage_0,74,102617.641137433
model_core_stage_1,74,102617.641137433
model_core_stage_2,74,117277.304157067
model_core_stage_3,74,117277.304157067
model_core_stage_4,74,117277.304157067
model_core_stage_5,74,117277.304157067
model_core_stage_6,74,117277.304157067
model_core_stage_7,74,103745.891906354
model_core,75,900292.703535045
model_core_stage_0,75,103182.787403460
model_core_stage_1,75,103182.787403460
model_core_stage_2,75,117923.185603954
model_core_stage_3,75,117923.185603954
model_core_stage_4,75,117923.185603954
model_core_stage_5,75,117923.185603954
model_core_stage_6,75,117923.185603954
model_core_stage_7,75,104311.200708355
model_core,76,905116.207550012
model_core_stage_0,76,103736.285605967
model_core_stage_1,76,103736.285605967
model_core_stage_2,76,118555.754978248
model_core_stage_3,76,118555.754978248
model_core_stage_4,76,118555.754978248
model_core_stage_5,76,118555.754978248
model_core_stage_6,76,118555.754978248
model_core_stage_7,76,104864.861446838
model_core,77,909840.302515303
model_core_stage_0,77,104278.376212610
model_core_stage_1,77,104278.376212610
model_core_stage_2,77,119175.287100126
model_core_stage_3,77,119175.287100126
model_core_stage_4,77,119175.287100126
model_core_stage_5,77,119175.287100126
model_core_stage_6,77,119175.287100126
model_core_stage_7,77,105407.114589455
model_core,78,914467.040674280
model_core_stage_0,78,104809.294726725
model_core_stage_1,78,104809.294726725
model_core_stage_2,78,119782.051116257
model_core_stage_3,78,119782.051116257
model_core_stage_4,78,119782.051116257
model_core_stage_5,78,119782.051116257
model_core_stage_6,78,119782.051116257
model_core_stage_7,78,105938.195639545
model_core,79,918998.431902909
model_core_stage_0,79,105329.271789816
model_core_stage_1,79,105329.271789816
model_core_stage_2,79,120376.310616933
model_core_stage_3,79,120376.310616933
model_core_stage_4,79,120376.310616933
model_core_stage_5,79,120376.310616933
model_core_stage_6,79,120376.310616933
model_core_stage_7,79,106458.335238611
model_core,80,923436.444584405
model_core_stage_0,80,105838.533281925
model_core_stage_1,80,105838.533281925
model_core_stage_2,80,120958.323750772
model_core_stage_3,80,120958.323750772
model_core_stage_4,80,120958.323750772
model_core_stage_5,80,120958.323750772
model_core_stage_6,80,120958.323750772
model_core_stage_7,80,106967.759266695
model_core,81,927783.006465831
model_core_stage_0,81,106337.300419928
model_core_stage_1,81,106337.300419928
model_core_stage_2,81,121528.343337061
model_core_stage_3,81,121528.343337061
model_core_stage_4,81,121528.343337061
model_core_stage_5,81,121528.343337061
model_core_stage_6,81,121528.343337061
model_core_stage_7,81,107466.688940673
model_core,82,932040.005497008
model_core_stage_0,82,106825.789853804
model_core_stage_1,82,106825.789853804
model_core_stage_2,82,122086.616975776
model_core_stage_3,82,122086.616975776
model_core_stage_4,82,122086.616975776
model_core_stage_5,82,122086.616975776
model_core_stage_6,82,122086.616975776
model_core_stage_7,82,107955.340910523
model_core,83,936209.290652104
model_core_stage_0,83,107304.213760916
model_core_stage_1,83,107304.213760916
model_core_stage_2,83,122633.387155332
model_core_stage_3,83,122633.387155332
model_core_stage_4,83,122633.387155332
model_core_stage_5,83,122633.387155332
model_core_stage_6,83,122633.387155332
model_core_stage_7,83,108433.927353610
model_core,84,940292.672734266
model_core_stage_0,84,107772.779938347
model_core_stage_1,84,107772.779938347
model_core_stage_2,84,123168.891358111
model_core_stage_3,84,123168.891358111
model_core_stage_4,84,123168.891358111
model_core_stage_5,84,123168.891358111
model_core_stage_6,84,123168.891358111
model_core_stage_7,84,108902.656067016
model_core,85,944291.925163638
model_core_stage_0,85,108231.691893327
model_core_stage_1,85,108231.691893327
model_core_stage_2,85,123693.362163802
model_core_stage_3,85,123693.362163802
model_core_stage_4,85,123693.362163802
model_core_stage_5,85,123693.362163802
model_core_stage_6,85,123693.362163802
model_core_stage_7,85,109361.730557971
model_core,86,948208.784749114
model_core_stage_0,86,108681.148931795
model_core_stage_1,86,108681.148931795
model_core_stage_2,86,124207.027350622
model_core_stage_3,86,124207.027350622
model_core_stage_4,86,124207.027350622
model_core_stage_5,86,124207.027350622
model_core_stage_6,86,124207.027350622
model_core_stage_7,86,109811.350132413
model_core,87,952044.952444154
model_core_stage_0,87,109121.346245130
model_core_stage_1,87,109121.346245130
model_core_stage_2,87,124710.109994434
model_core_stage_3,87,124710.109994434
