layer,sequences,time_us
model_core,64,718144.514683332
model_core_stage_0,64,82757.339999558
model_core_stage_1,64,91952.599999508
model_core_stage_2,64,91952.599999508
model_core_stage_3,64,91952.599999508
model_core_stage_4,64,91952.599999508
model_core_stage_5,64,91952.599999508
model_core_stage_6,64,91952.599999508
model_core_stage_7,64,83671.574686724
model_core,65,721461.379067073
model_core_stage_0,65,83140.037461536
model_core_stage_1,65,92377.819401706
model_core_stage_2,65,92377.819401706
model_core_stage_3,65,92377.819401706
model_core_stage_4,65,92377.819401706
model_core_stage_5,65,92377.819401706
model_core_stage_6,65,92377.819401706
model_core_stage_7,65,84054.425195301
model_core,66,724676.217918585
model_core_stage_0,66,83510.962746718
model_core_stage_1,66,92789.958607464
model_core_stage_2,66,92789.958607464
model_core_stage_3,66,92789.958607464
model_core_stage_4,66,92789.958607464
model_core_stage_5,66,92789.958607464
model_core_stage_6,66,92789.958607464
model_core_stage_7,66,84425.503527082
model_core,67,727792.176284629
model_core_stage_0,67,83870.478745115
model_core_stage_1,67,93189.420827906
model_core_stage_2,67,93189.420827906
model_core_stage_3,67,93189.420827906
model_core_stage_4,67,93189.420827906
model_core_stage_5,67,93189.420827906
model_core_stage_6,67,93189.420827906
model_core_stage_7,67,84785.172572079
model_core,68,730812.302262517
model_core_stage_0,68,84218.937160264
model_core_stage_1,68,93576.596844738
model_core_stage_2,68,93576.596844738
model_core_stage_3,68,93576.596844738
model_core_stage_4,68,93576.596844738
model_core_stage_5,68,93576.596844738
model_core_stage_6,68,93576.596844738
model_core_stage_7,68,85133.784033826
model_core,69,733739.549988684
model_core_stage_0,69,84556.678854060
model_core_stage_1,69,93951.865393400
model_core_stage_2,69,93951.865393400
model_core_stage_3,69,93951.865393400
model_core_stage_4,69,93951.865393400
model_core_stage_5,69,93951.865393400
model_core_stage_6,69,93951.865393400
model_core_stage_7,69,85471.678774222
model_core,70,736576.782535133
model_core_stage_0,70,84884.034180966
model_core_stage_1,70,94315.593534407
model_core_stage_2,70,94315.593534407
model_core_stage_3,70,94315.593534407
model_core_stage_4,70,94315.593534407
model_core_stage_5,70,94315.593534407
model_core_stage_6,70,94315.593534407
model_core_stage_7,70,85799.187147727
model_core,71,739326.774716589
model_core_stage_0,71,85201.323311911
model_core_stage_1,71,94668.137013235
model_core_stage_2,71,94668.137013235
model_core_stage_3,71,94668.137013235
model_core_stage_4,71,94668.137013235
model_core_stage_5,71,94668.137013235
model_core_stage_6,71,94668.137013235
model_core_stage_7,71,86116.629325271
model_core,72,741992.215811134
model_core_stage_0,72,85508.856548213
model_core_stage_1,72,95009.840609125
model_core_stage_2,72,95009.840609125
model_core_stage_3,72,95009.840609125
model_core_stage_4,72,95009.840609125
model_core_stage_5,72,95009.840609125
model_core_stage_6,72,95009.840609125
model_core_stage_7,72,86424.315608171
model_core,73,744575.712196957
model_core_stage_0,73,85806.934625815
model_core_stage_1,73,95341.038473128
model_core_stage_2,73,95341.038473128
model_core_stage_3,73,95341.038473128
model_core_stage_4,73,95341.038473128
model_core_stage_5,73,95341.038473128
model_core_stage_6,73,95341.038473128
model_core_stage_7,73,86722.546732373
model_core,74,747079.789907838
model_core_stage_0,74,86095.849010156
model_core_stage_1,74,95662.054455728
model_core_stage_2,74,95662.054455728
model_core_stage_3,74,95662.054455728
model_core_stage_4,74,95662.054455728
model_core_stage_5,74,95662.054455728
model_core_stage_6,74,95662.054455728
model_core_stage_7,74,87011.614163312
model_core,75,749506.897109849
model_core_stage_0,75,86375.882181934
model_core_stage_1,75,95973.202424371
model_core_stage_2,75,95973.202424371
model_core_stage_3,75,95973.202424371
model_core_stage_4,75,95973.202424371
model_core_stage_5,75,95973.202424371
model_core_stage_6,75,95973.202424371
model_core_stage_7,75,87291.800381690
model_core,76,751859.406501707
model_core_stage_0,76,86647.307914079
model_core_stage_1,76,96274.786571199
model_core_stage_2,76,96274.786571199
model_core_stage_3,76,96274.786571199
model_core_stage_4,76,96274.786571199
model_core_stage_5,76,96274.786571199
model_core_stage_6,76,96274.786571199
model_core_stage_7,76,87563.379160434
model_core,77,754139.617641144
model_core_stage_0,77,86910.391540176
model_core_stage_1,77,96567.101711306
model_core_stage_2,77,96567.101711306
model_core_stage_3,77,96567.101711306
model_core_stage_4,77,96567.101711306
model_core_stage_5,77,96567.101711306
model_core_stage_6,77,96567.101711306
model_core_stage_7,77,87826.615833130
model_core,78,756349.759199547
model_core_stage_0,78,87165.390214615
model_core_stage_1,78,96850.433571794
model_core_stage_2,78,96850.433571794
model_core_stage_3,78,96850.433571794
model_core_stage_4,78,96850.433571794
model_core_stage_5,78,96850.433571794
model_core_stage_6,78,96850.433571794
model_core_stage_7,78,88081.767554168
model_core,79,758491.991147114
model_core_stage_0,79,87412.553164726
model_core_stage_1,79,97125.059071918
model_core_stage_2,79,97125.059071918
model_core_stage_3,79,97125.059071918
model_core_stage_4,79,97125.059071918
model_core_stage_5,79,97125.059071918
model_core_stage_6,79,97125.059071918
model_core_stage_7,79,88329.083550879
model_core,80,760568.406870636
model_core_stage_0,80,87652.121935141
model_core_stage_1,80,97391.246594601
model_core_stage_2,80,97391.246594601
model_core_stage_3,80,97391.246594601
model_core_stage_4,80,97391.246594601
model_core_stage_5,80,97391.246594601
model_core_stage_6,80,97391.246594601
model_core_stage_7,80,88568.805367892
model_core,81,762581.035226007
model_core_stage_0,81,87884.330624614
model_core_stage_1,81,97649.256249571
model_core_stage_2,81,97649.256249571
model_core_stage_3,81,97649.256249571
model_core_stage_4,81,97649.256249571
model_core_stage_5,81,97649.256249571
model_core_stage_6,81,97649.256249571
model_core_stage_7,81,88801.167103965
model_core,82,764531.842527453
model_core_stage_0,82,88109.406115558
model_core_stage_1,82,97899.340128398
model_core_stage_2,82,97899.340128398
model_core_stage_3,82,97899.340128398
model_core_stage_4,82,97899.340128398
model_core_stage_5,82,97899.340128398
model_core_stage_6,82,97899.340128398
model_core_stage_7,82,89026.395641508
model_core,83,766422.734475452
model_core_stage_0,83,88327.568296489
model_core_stage_1,83,98141.742551654
model_core_stage_2,83,98141.742551654
model_core_stage_3,83,98141.742551654
model_core_stage_4,83,98141.742551654
